id	filename	md5	size	state
ccbbc898-4df8-4a17-a82c-70cff97966c5	537216c6-4d20-42f5-b191-7e6c10cafbe7.rna_seq.genomic.gdc_realn.bam	7f11c13c048ae2701a83147d7f3b8faa	14435236056	released
5ac5b490-015f-4765-85b7-79ec469d0004	80304b6d-45f9-4210-9a2a-dee958cf32c4.rna_seq.genomic.gdc_realn.bam	db9f2221e4e083ac6dd6a814aac65238	12181522853	released
b0e47652-f149-4a28-9a28-95082bdc6633	e9bec6fd-6a37-4f07-b396-2c960be6e9ef.rna_seq.genomic.gdc_realn.bam	8055dda5fa3f9698c20283b8339163a6	7075834847	released
09a3e697-ff6c-453b-bed9-b8522bafbb36	97fff753-780b-4c1f-9b30-bad1335259cf.rna_seq.genomic.gdc_realn.bam	b0de353bf8c85bef03e4a7d695e2bfee	13393151704	released
814ddcdc-7fcc-4887-8d38-2bac7383f5d8	3a89e015-441c-4c22-9b73-55cdd2a42e09.rna_seq.genomic.gdc_realn.bam	715a2ea2a80ac1e57117a2c828f50d32	11463926777	released
d1537adc-63c4-42e4-b4e6-3ccdfcb516b9	c3a5381d-b2a6-4c92-9e1d-c23f306d481d.rna_seq.genomic.gdc_realn.bam	66b086d72ef72b51695d7cf43f1406a7	16202902478	released
f0559f80-44ca-4dba-800f-c8b066fb3cac	9c00ffb8-be7c-402a-b15b-84334cedb250.rna_seq.genomic.gdc_realn.bam	bb4e2f7d782888ee5c4dd5fd50162ed6	15994146017	released
73b58a07-56ca-46bb-aff6-a8222c195a19	645b2b83-b0ff-471f-a49d-fd8d64ed8f39.rna_seq.genomic.gdc_realn.bam	74312c42d8a25dbd8ee89785604df80f	11875873316	released
e361944c-763e-4d79-8176-8b3639e1c606	f51efd9f-3820-49ce-b69d-2fe1c10728c9.rna_seq.genomic.gdc_realn.bam	34044ec0234eef7af8d12e7dbe37bbe4	12275560121	released
a82e81b9-a68d-4131-a85b-18f764b79071	900db067-2678-4231-ae8b-3e153efede5a.rna_seq.genomic.gdc_realn.bam	76feffe60e80d2a4ca6cc1da4758b036	14435811905	released
1932ccf9-fcbf-4ed8-bd46-b79be6d726af	d4322d18-5cca-4934-8090-ffe533635078.rna_seq.genomic.gdc_realn.bam	ae35d1ab4da3200995492073bc7da932	8215411791	released
e6cbc6b0-5631-472b-a4a8-21ad9ee45c37	f17ed345-3ff9-4c55-92b2-e99e05b953c5.rna_seq.genomic.gdc_realn.bam	3d4cc3bbd7d067119109d3de8484f27e	12138966629	released
79fb9696-9bee-4c09-a9a0-f80065639171	9bb9d403-745f-4618-bf2e-129bdd6856f8.rna_seq.genomic.gdc_realn.bam	1464b77caf1bee1958c67b6f4457f464	14059138872	released
244e167c-1e2f-46ca-99f9-6ff29ce5668d	dcc291dd-a7d6-4279-a653-aa0baf83e68f.rna_seq.genomic.gdc_realn.bam	6b63986724a7842e292be8613fac1666	12476684250	released
6a1cedfb-0e91-4063-beec-3d0b356b65c6	520f9326-44f5-45b9-9624-4574416339ec.rna_seq.genomic.gdc_realn.bam	99af271020c1da9375951f19f3900086	16838763146	released
ef461a6f-d614-4760-ae13-6ca9ee2e5e31	e5b48e72-8cd6-40af-adf1-fc4993b220ae.rna_seq.genomic.gdc_realn.bam	ac1efddcf321f81bcf3f74e572ab8366	15823945675	released
453ed0a5-d8ab-45fc-b8a7-1bc5ea77464d	fb34f974-8d1d-4c0d-bba9-697c9bffc90f.rna_seq.genomic.gdc_realn.bam	efe0c6d95e4c473838ec2e3af0f75c23	13717172863	released
1b4db0fc-13c1-404a-b8c3-58868e8963f5	e987c0b1-de3c-473d-b85a-fc41ac14507d.rna_seq.genomic.gdc_realn.bam	48b13088f6ce8b85ce196acc7738caea	11165081944	released
b4bbae16-cd23-4488-b809-3e1a7ad9453c	91370cc2-c4ad-41b2-b635-d1d1173da553.rna_seq.genomic.gdc_realn.bam	10278d76586e783b305dd743c6f54476	9667668796	released
5c2896d2-cd11-41a9-bcad-0c03a097befa	6352c47e-dedb-481e-9188-662fe105c6ab.rna_seq.genomic.gdc_realn.bam	0ff7bb8c0c7c2d88821964d7b6505a63	12383414981	released
8d00e175-d2d3-4dc2-a616-0eb55f9bd98f	78e39f82-75e8-40d3-9886-d9fe003852f6.rna_seq.genomic.gdc_realn.bam	d8ef01e45567c3721bbbcf2a697d3c2d	11723234180	released
1c91cfae-3591-4702-9c8b-b7ae21a2c7e7	c30ce77c-ba93-4751-ba4e-ed2b6aee1576.rna_seq.genomic.gdc_realn.bam	a253860d6d55ea56e9bc3c4f95bf8e0c	13277031982	released
6865316d-14ef-4c77-ae83-268da6593857	a1cff0f6-de98-496b-b7e5-ba65ffa0bf73.rna_seq.genomic.gdc_realn.bam	b5895bbd4099fade24f947a03c39d9b7	11996063257	released
42b8f9cd-cdf4-46bf-83ca-fe89c325cfd2	e53e9934-4397-499e-9249-ddf0fac62e29.rna_seq.genomic.gdc_realn.bam	e948d2c1d2ca1c38514fc91057856fe8	18178096474	released
f31eb649-6507-4623-95ce-bcefb559e392	ce317194-953e-42f1-959e-98c0743bbe83.rna_seq.genomic.gdc_realn.bam	9d08a904313670d5159c9a2f0c6389f5	12062231419	released
11496ee1-5307-4508-9167-b669c9d04f0d	de300fb5-1cc2-48f4-8226-507b53271a3f.rna_seq.genomic.gdc_realn.bam	82e99997f9361deedde0f09100736102	13021769828	released
08c2481f-e5e5-4fd0-a8d5-abf00f8a9fc8	2d31f70e-fce9-4350-9d7a-b60074fdfc89.rna_seq.genomic.gdc_realn.bam	d10646c48932a3dd31b3542796be7d96	12368466555	released
97498fb6-c1ba-420a-a185-b7a8c19dab49	486e308d-b72a-4829-bb0e-d90357ad730f.rna_seq.genomic.gdc_realn.bam	b8e03bfe0e8eb98571e3538b37991895	11730296039	released
48112d93-e414-442f-a7e6-ea442fbcafc5	418c3b15-b7f6-4354-b044-7f9f645b56e8.rna_seq.genomic.gdc_realn.bam	8138c394a32542ea0a7b410b82e02dbe	11990168911	released
